time,location,nearby event host,weather conditions
1728913799.719456,15th Street Bridge,none,Raining
1728913950.97212,15th Street Bridge,none,Raining
1728913831.774045,15th Street Bridge,none,Raining
1728913806.489103,15th Street Bridge,none,Raining
1728913797.598842,15th Street Bridge,none,Raining
1728913950.760259,15th Street Bridge,none,Raining
1728913903.887968,15th Street Bridge,none,Raining
1728913914.718203,15th Street Bridge,none,Raining
1728913780.627843,15th Street Bridge,none,Raining
1728913795.486858,15th Street Bridge,none,Raining
1728913828.838614,15th Street Bridge,none,Raining
1728913917.484495,15th Street Bridge,none,Raining
1728913907.698815,15th Street Bridge,none,Raining
1728913944.844707,15th Street Bridge,none,Raining
1728913941.317994,15th Street Bridge,none,Raining
1728913873.684757,15th Street Bridge,none,Raining
1728913880.810171,15th Street Bridge,none,Raining
1728913839.76577,15th Street Bridge,none,Raining
1728913981.632077,15th Street Bridge,none,Raining
1728913955.113768,15th Street Bridge,none,Raining
1728913811.318236,15th Street Bridge,none,Raining
1728913874.427456,15th Street Bridge,none,Raining
1728913839.689122,15th Street Bridge,none,Raining
1728913824.675303,15th Street Bridge,none,Raining
1728913956.238591,15th Street Bridge,none,Raining
1728913797.530466,15th Street Bridge,none,Raining
1728913864.182552,15th Street Bridge,none,Raining
1728913859.155051,15th Street Bridge,none,Raining
1728913855.549373,15th Street Bridge,none,Raining
1728913836.485008,15th Street Bridge,none,Raining
1728913783.428106,15th Street Bridge,none,Raining
1728913883.261971,15th Street Bridge,none,Raining
1728913802.958279,15th Street Bridge,none,Raining
1728913994.350889,15th Street Bridge,none,Raining
1728913791.912048,15th Street Bridge,none,Raining
1728913843.362788,15th Street Bridge,none,Raining
1728913923.873552,15th Street Bridge,none,Raining
1728913985.50842,15th Street Bridge,none,Raining
1728913859.792406,15th Street Bridge,none,Raining
1728913819.149262,15th Street Bridge,none,Raining
1728913789.693236,15th Street Bridge,none,Raining
1728913931.703196,15th Street Bridge,none,Raining
1728913958.536402,15th Street Bridge,none,Raining
1728914009.453165,15th Street Bridge,none,Raining
1728913978.276253,15th Street Bridge,none,Raining
1728913980.95608,15th Street Bridge,none,Raining
1728913864.230294,15th Street Bridge,none,Raining
1728913881.818473,15th Street Bridge,none,Raining
1728913973.186502,15th Street Bridge,none,Raining
1728913812.036983,15th Street Bridge,none,Raining
1728913858.264968,15th Street Bridge,none,Raining
1728913933.842042,15th Street Bridge,none,Raining
1728913941.436875,15th Street Bridge,none,Raining
1728913937.05144,15th Street Bridge,none,Raining
